,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_speed,Country,Date
125,teya,31.61,34.76,82,54,40,9.98,IL,1596609380
126,longyearbyen,-15.62,30.42,77.38,43,0,2.77,ZM,1596609380
127,zhanaozen,11,122.67,82.89,83,100,8.14,PH,1596609381
128,new norfolk,53.66,52.44,77.76,68,8,14.36,RU,1596609381
129,oriximina,0.81,24.43,77.18,74,100,2.64,CD,1596609381
130,pimentel,-2.02,147.27,82.38,80,100,12.19,PG,1596609382
131,klaksvik,-4.28,-55.98,74.1,71,16,1.54,BR,1596609382
132,katha,-23.13,150.73,78.8,47,20,9.17,AU,1596609382
133,ancud,62.88,152.43,65.35,35,95,6.73,RU,1596609383
134,esso,53.64,15.62,57.99,67,88,1.01,PL,1596609370
135,saleaula,33.19,-82.53,73.4,69,75,1.88,US,1596609384
136,hithadhoo,41.53,-87.42,57.2,100,1,2.64,US,1596609183
137,gat,73.51,80.55,46,95,100,21.92,RU,1596609385
138,luangwa,7.77,-72.22,65.37,91,91,4.54,VE,1596609385
139,dingle,29.03,21.55,86.92,29,0,8.34,LY,1596609385
140,buguruslan,-28.77,114.6,64.4,63,75,14.99,AU,1596609386
141,yangambi,70.86,29.09,51.8,87,75,5.82,NO,1596609386
142,lorengau,40.79,-77.86,64,88,1,3.11,US,1596609182
143,itaituba,-20.41,57.7,68,77,40,6.93,MU,1596609387
144,yeppoon,71.04,27.85,51.8,87,75,4.7,NO,1596609387
145,seymchan,54.05,122.9,69.49,58,89,1.81,RU,1596609387
146,lobez,-24.79,-50.01,47.59,97,38,4.74,BR,1596609287
147,nizhneyansk,11.57,76.67,70.14,84,100,9.1,IN,1596609388
148,avera,55.07,57.55,74.93,71,87,10.85,RU,1596609388
149,katsiveli,-19.55,169.27,69.01,68,15,6.55,VU,1596609389
150,griffith,69.38,178.42,35.28,90,100,12.62,RU,1596609389
151,barentsburg,-21.55,167.88,67.06,70,78,4.7,NC,1596609389
152,dikson,60.72,-135.05,57.2,58,75,8.05,CA,1596609390
153,san cristobal,-8.93,125.41,72.21,58,29,1.92,TL,1596609390
154,jalu,38.53,141.13,89.6,78,75,9.17,JP,1596609390
155,geraldton,-46.28,169.85,48.99,73,0,5.28,NZ,1596609391
156,berlevag,43.94,15.45,70,68,20,3.36,HR,1596609392
157,state college,50.27,-5.05,63,93,95,12.75,GB,1596609128
158,mahebourg,-15.2,12.15,67.44,82,31,4.23,AO,1596609392
159,mehamn,38.42,-121.42,68,72,1,12.75,US,1596609393
160,urusha,-30.38,153.1,66,63,0,5.82,AU,1596609393
161,castro,29.22,119.48,92.68,63,88,5.44,CN,1596609393
162,masinigudi,50.68,106.18,79.92,45,96,6.22,RU,1596609394
163,minyar,77.48,-69.36,29.23,86,2,4.38,GL,1596609394
164,isangel,71.92,114.08,81.28,36,60,11.5,RU,1596609395
165,leningradskiy,49.5,2.42,62.01,82,0,3.36,FR,1596609395
166,tadine,45.52,-122.68,73.99,64,1,6.93,US,1596608891
167,whitehorse,53.57,142.95,58.37,75,100,11.32,RU,1596609395
